VDS_CD,TRFFCVLM,OCCPNCY,SPD_AVG,Start or End,point,geometry,length,count,black-spot
0010VDS17951,5300175,0.345,93.836,S,234.81,"LINESTRING (127.8223745400384 36.273412419155164, 127.80987662823073 36.27698168303306)",1191,1,0.188673016
0010VDS17952,5452832,0.335,88.626,S,235.96,"LINESTRING (127.80988726772866 36.27697813472672, 127.79884005888717 36.28121479911422)",1098,1,0.183390943
0010VDS17953,5455422,0.335,93.804,S,237.22,"LINESTRING (127.79877588085185 36.28122247677821, 127.78499456550557 36.27954777496834)",1252,0,0
0010VDS17954,5406518,0.329,92.507,S,238.66,"LINESTRING (127.78493912390623 36.279527406855685, 127.773055620871 36.27137432981022)",1399,0,0
0010VDS17956,5414822,0.326,84.904,S,239.77,"LINESTRING (127.77308689021388 36.271389461712346, 127.76181067996308 36.26780162796663)",1089,0,0
0010VDS17957,4668467,0.395,90.138,S,241.11,"LINESTRING (127.76187362356706 36.26780606031795, 127.74674840727047 36.27030022315527)",1387,0,0
0010VDS18540,6046403,3.403,94.271,S,242.4,"LINESTRING (127.74675706570878 36.270298500950766, 127.73804615691377 36.27233347320236)",815,0,0
0010VDS18551,5377494,3.538,93.234,S,243.9,"LINESTRING (127.73803606916601 36.27233542232052, 127.72142275110794 36.274888505231274)",1519,0,0
0010VDS18553,5371420,3.767,87.47,S,244.5,"LINESTRING (127.72141267196898 36.274889669768584, 127.71485486453932 36.27540080037118)",592,0,0
0010VDS18554,5369580,3.789,87.847,S,245.2,"LINESTRING (127.71485564674293 36.275400737168965, 127.70695263780824 36.27606185794457)",714,0,0
0010VDS18555,5665160,3.861,87.312,S,246.1,"LINESTRING (127.70697374624727 36.276058397330125, 127.6972307365594 36.278469249977036)",915,0,0
0010VDS18556,4811277,3.769,87.63,S,246.8,"LINESTRING (127.6972378346842 36.27846727987278, 127.68981542788738 36.28075616232079)",714,0,0
0010VDS18700,5105531,4.488,80.989,S,247.8,"LINESTRING (127.6897721147145 36.28076201549367, 127.67854370182009 36.28046043518861)",1009,0,0
0010VDS18800,4816878,4.182,93.534,S,248.8,"LINESTRING (127.67853466991757 36.28045989380596, 127.66728815722979 36.27941144265809)",1017,0,0
0010VDS18900,5559626,4.499,96.173,S,249.8,"LINESTRING (127.6673221662798 36.27941037539933, 127.65619975421471 36.28116203738114)",1018,0,0
0010VDS19000,5416356,4.475,89.906,S,251.1,"LINESTRING (127.65622351097124 36.281156000938296, 127.64301059982054 36.285882875871714)",1298,0,0
0010VDS19100,4613037,3.81,93.871,S,251.9,"LINESTRING (127.64304564614235 36.2858630848248, 127.63674474651816 36.291137238986515)",814,1,0.21677693
0010VDS19200,5423860,4.097,92.784,S,252.7,"LINESTRING (127.63669691587546 36.29116086016797, 127.62824010742658 36.293229462433686)",794,0,0
0010VDS19800,4206433,3.415,89.03125,S,258.3,"LINESTRING (127.62824623941593 36.29322780406143, 127.5725252873682 36.30975114176422)",5330,0,0
